day,hour,gametime,zone,lon,lat,age,r,dist,action,playerId,gameId,year
14812,6.934013366699219,416.0408166666667,,-1.1556243896484375,52.97466337680817,0,184845,6,"move","P521","GA507",NA
14812,6.934286594390869,416.0572,,-1.1555922031402588,52.97459900379181,0,184837,7,"move","P521","GA507",NA
14812,6.934603214263916,416.0762,,-1.1555653810501099,52.97451853752136,0,184828,9,"move","P521","GA507",NA
14812,6.93485689163208,416.09141666666665,,-1.155538558959961,52.974464893341064,0,184822,6,"move","P521","GA507",NA
14812,6.935118675231934,416.1071333333333,,-1.1555063724517822,52.97440052032471,0,184815,7,"move","P521","GA507",NA
14812,6.935394287109375,416.12368333333336,,-1.1554473638534546,52.97435760498047,0,184809,6,"move","P521","GA507",NA
14812,6.936232089996338,416.1739333333333,,-1.1553776264190674,52.97431468963623,0,184803,6,"move","P521","GA507",NA
14812,6.937892436981201,416.27355,,-1.1554044485092163,52.97435760498047,0,184808,5,"move","P521","GA507",NA
14812,6.9393486976623535,416.3609333333333,,-1.1553668975830078,52.97428786754608,0,184800,8,"move","P521","GA507",NA
14812,6.939929962158203,416.3957833333333,,-1.1553561687469482,52.974202036857605,0,184791,9,"move","P521","GA507",NA
14812,6.940168380737305,416.4101,,-1.1552971601486206,52.97412157058716,0,184781,9,"move","P521","GA507",NA
14812,6.940444469451904,416.42665,,-1.1552274227142334,52.97402501106262,0,184769,11,"move","P521","GA507",NA
14812,6.940736770629883,416.44421666666665,,-1.1551791429519653,52.973928451538086,0,184758,11,"move","P521","GA507",NA
14812,6.9409589767456055,416.45751666666666,,-1.1551576852798462,52.97383725643158,0,184749,10,"move","P521","GA507",NA
14812,6.941235542297363,416.47415,,-1.155087947845459,52.973703145980835,0,184733,15,"move","P521","GA507",NA
14812,6.941513538360596,416.49081666666666,,-1.1550021171569824,52.97355830669403,0,184716,17,"move","P521","GA507",NA
14812,6.94179105758667,416.50745,,-1.154937744140625,52.973434925079346,0,184702,14,"move","P521","GA507",NA
14812,6.942070007324219,416.5241833333333,,-1.1548733711242676,52.97330617904663,0,184687,14,"move","P521","GA507",NA
14812,6.942349433898926,416.5409666666667,,-1.1547768115997314,52.9731559753418,0,184670,17,"move","P521","GA507",NA
14812,6.942624568939209,416.55746666666664,,-1.154685616493225,52.97300040721893,0,184651,18,"move","P521","GA507",NA
14812,6.942903995513916,416.5742333333333,,-1.1545997858047485,52.97284483909607,0,184633,18,"move","P521","GA507",NA
14812,6.94320011138916,416.59198333333336,,-1.1545300483703613,52.972699999809265,0,184617,16,"move","P521","GA507",NA
14812,6.943531036376953,416.6118666666667,,-1.1544495820999146,52.97255516052246,0,184600,16,"move","P521","GA507",NA
14812,6.943750381469727,416.6250333333333,,-1.1543476581573486,52.97239422798157,0,184581,19,"move","P521","GA507",NA
14812,6.944028854370117,416.6417333333333,,-1.1542671918869019,52.97224938869476,0,184564,16,"move","P521","GA507",NA
14812,6.944305419921875,416.65833333333336,,-1.154186725616455,52.97209918498993,0,184547,17,"move","P521","GA507",NA
14812,6.944616317749023,416.67696666666666,,-1.154111623764038,52.971954345703125,0,184531,16,"move","P521","GA507",NA
14812,6.944866180419922,416.69196666666664,,-1.1540472507476807,52.9718416929245,0,184517,13,"move","P521","GA507",NA
14812,6.945154666900635,416.7092666666667,,-1.1539828777313232,52.971718311309814,0,184503,14,"move","P521","GA507",NA
14812,6.945461273193359,416.72768333333335,,-1.1539024114608765,52.97160029411316,0,184489,14,"move","P521","GA507",NA
14812,6.945711612701416,416.7427,,-1.153864860534668,52.97151982784271,0,184480,9,"move","P521","GA507",NA
14812,6.94596004486084,416.75761666666665,,-1.1538058519363403,52.97141790390015,0,184468,11,"move","P521","GA507",NA
14812,6.946235656738281,416.77415,,-1.1537575721740723,52.97130525112152,0,184456,12,"move","P521","GA507",NA
14812,6.946512222290039,416.79075,,-1.1537200212478638,52.971230149269104,0,184447,8,"move","P521","GA507",NA
14812,6.946789264678955,416.80736666666667,,-1.1536985635757446,52.971176505088806,0,184441,6,"move","P521","GA507",NA
14812,6.947067737579346,416.8240666666667,,-1.1536771059036255,52.97112286090851,0,184435,6,"move","P521","GA507",NA
14812,6.9473466873168945,416.8408166666667,,-1.1536502838134766,52.97107994556427,0,184430,5,"move","P521","GA507",NA
14812,6.947933197021484,416.87598333333335,,-1.1535966396331787,52.97101020812988,0,184422,8,"move","P521","GA507",NA
14812,6.9484710693359375,416.9082833333333,,-1.153564453125,52.970961928367615,0,184416,5,"move","P521","GA507",NA
14812,6.954077243804932,417.24463333333335,,-1.1535269021987915,52.97090291976929,0,184409,7,"move","P521","GA507",NA
14812,6.954291343688965,417.2574833333333,,-1.1535054445266724,52.97085464000702,0,184403,5,"move","P521","GA507",NA
14812,6.954568386077881,417.2741,,-1.1534786224365234,52.97077417373657,0,184395,9,"move","P521","GA507",NA
14812,6.954845905303955,417.2907666666667,,-1.153489351272583,52.970715165138245,0,184389,6,"move","P521","GA507",NA
14812,6.955126762390137,417.3076,,-1.1535108089447021,52.9706346988678,0,184382,9,"move","P521","GA507",NA
14812,6.9554033279418945,417.32421666666664,,-1.1535215377807617,52.97055423259735,0,184374,8,"move","P521","GA507",NA
14812,6.955749988555908,417.34498333333335,,-1.1535698175430298,52.970452308654785,0,184366,11,"move","P521","GA507",NA
14812,6.955958366394043,417.3575,,-1.1536073684692383,52.97036111354828,0,184358,10,"move","P521","GA507",NA
14812,6.956325531005859,417.3795333333333,,-1.1536288261413574,52.97024309635162,0,184347,13,"move","P521","GA507",NA
14812,6.95653772354126,417.39225,,-1.153666377067566,52.97014117240906,0,184338,11,"move","P521","GA507",NA
14812,6.956852436065674,417.41115,,-1.1536931991577148,52.97003388404846,0,184328,12,"move","P521","GA507",NA
14812,6.957087993621826,417.4252666666667,,-1.1537039279937744,52.969931960105896,0,184318,11,"move","P521","GA507",NA
14812,6.957365036010742,417.4419,,-1.1537092924118042,52.96981930732727,0,184307,12,"move","P521","GA507",NA
14812,6.957642555236816,417.4585666666667,,-1.1537200212478638,52.969706654548645,0,184297,12,"move","P521","GA507",NA
14812,6.957949638366699,417.47696666666667,,-1.1537200212478638,52.96961009502411,0,184287,10,"move","P521","GA507",NA
14812,6.958303451538086,417.4981833333333,,-1.1537200212478638,52.9695188999176,0,184278,10,"move","P521","GA507",NA
14812,6.958563327789307,417.5138166666667,,-1.1537200212478638,52.969438433647156,0,184270,8,"move","P521","GA507",NA
14812,6.95872688293457,417.5236,,-1.1536985635757446,52.96934187412262,0,184260,10,"move","P521","GA507",NA
14812,6.959043979644775,417.54263333333336,,-1.153714656829834,52.9692667722702,0,184253,8,"move","P521","GA507",NA
14812,6.959285736083984,417.55715,,-1.1537039279937744,52.969197034835815,0,184246,7,"move","P521","GA507",NA
14812,6.9595723152160645,417.57435,,-1.1536931991577148,52.96911656856537,0,184237,8,"move","P521","GA507",NA
14812,6.959847927093506,417.59085,,-1.1537092924118042,52.96904146671295,0,184231,8,"move","P521","GA507",NA
14812,6.96012544631958,417.60751666666664,,-1.1536931991577148,52.968955636024475,0,184222,9,"move","P521","GA507",NA
14812,6.960405349731445,417.62435,,-1.1536985635757446,52.96887516975403,0,184214,8,"move","P521","GA507",NA
14812,6.960682392120361,417.64093333333335,,-1.1536931991577148,52.96880006790161,0,184206,8,"move","P521","GA507",NA
14812,6.960958957672119,417.65751666666665,,-1.153687834739685,52.968724966049194,0,184199,8,"move","P521","GA507",NA
14812,6.961237907409668,417.67428333333334,,-1.1536931991577148,52.96864986419678,0,184191,8,"move","P521","GA507",NA
14812,6.961514472961426,417.6908666666667,,-1.1536931991577148,52.96857476234436,0,184184,8,"move","P521","GA507",NA
14812,6.961848735809326,417.71093333333334,,-1.1537200212478638,52.96852648258209,0,184180,5,"move","P521","GA507",NA
